M,Id,Max_Advantage,X_Index,Y_Index,Gamma_Index,C_Index
6,59,0.45412211624275245,,,0.0,8.0
6,60,0.44615044213100563,,,0.0,8.0
6,61,0.4541221162427527,,,0.0,8.0
6,62,0.46045686784198664,,,0.0,8.0
6,63,0.4621314301560553,,,0.0,8.0
6,64,0.4541221162427528,,,0.0,8.0
6,65,0.4541221162427527,,,0.0,8.0
6,66,0.4541221162427527,,,0.0,8.0
6,67,0.46213143015605557,,,0.0,8.0
6,68,0.4795483700262397,,,0.0,8.0
6,69,0.4748513819294967,,,0.0,8.0
6,70,0.4541221162427528,,,0.0,8.0
6,71,0.46213143015605523,,,0.0,8.0
6,72,0.47485138192949594,,,0.0,8.0
6,73,0.44615044213100563,,,0.0,8.0
6,74,0.4604568678419862,,,0.0,8.0
6,75,0.47485138192949683,,,0.0,8.0
6,76,0.44615044213100563,,,0.0,8.0
6,77,0.47485138192949644,,,0.0,8.0
6,78,0.4541221162427527,,,0.0,8.0
6,79,0.4748513819294967,,,0.0,8.0
6,80,0.4621314301560544,,,0.0,8.0
6,81,0.46213143015605557,,,0.0,8.0
6,82,0.46045686784198697,,,0.0,8.0
6,83,0.4792123560217757,,,0.0,8.0
6,84,0.5223596126014045,,,0.0,8.0
6,85,0.47485138192949655,,,0.0,8.0
6,86,0.44615044213100563,,,0.0,8.0
6,87,0.4541221162427527,,,0.0,8.0
6,88,0.4541221162427528,,,0.0,8.0
6,89,0.46045686784198714,,,0.0,8.0
6,90,0.4621314301560544,,,0.0,8.0
6,91,0.5119720185797811,,,0.0,8.0
6,92,0.5064193800950583,,,0.0,8.0
6,93,0.4541221162427527,,,0.0,8.0
6,94,0.47954837002623985,,,0.0,8.0
6,95,0.46128155964027184,,,0.0,8.0
6,96,0.460456867841987,,,0.0,8.0
6,97,0.47921235602177575,,,0.0,8.0
6,98,0.44615044213100563,,,0.0,8.0
6,99,0.47485138192949683,,,0.0,8.0
7,0,0.42373745893329434,,,0.0,8.0
7,1,0.44692443715454666,,,0.0,8.0
7,2,0.4629522767063233,,,0.0,8.0
7,3,0.4333760405007696,,,0.0,8.0
7,4,0.44307975928265414,,,0.0,8.0
7,5,0.43121088117817785,,,0.0,8.0
7,6,0.44692443715454583,,,0.0,8.0
7,7,0.4296483614188233,,,0.0,8.0
7,8,0.430417874275629,,,0.0,8.0
7,9,0.44140750584942795,,,0.0,8.0
7,10,0.4862608497504165,,,0.0,8.0
7,11,0.45008235136154,,,0.0,8.0
7,12,0.4471489468739242,,,0.0,8.0
7,13,0.45836252709809805,,,0.0,8.0
7,14,0.42373745893329445,,,0.0,8.0
7,15,0.44714894687392426,,,0.0,8.0
7,16,0.5234745821791609,,,0.0,8.0
7,17,0.45074750099664534,,,0.0,8.0
7,18,0.47612092108412235,,,0.0,8.0
7,19,0.4469244371545462,,,0.0,8.0
7,20,0.4430797592826538,,,0.0,8.0
7,21,0.44486651284031187,,,0.0,8.0
7,22,0.4363848021726508,,,0.0,8.0
7,23,0.4296483614188239,,,0.0,8.0
7,24,0.42373745893329445,,,0.0,8.0
7,25,0.44010436474828357,,,0.0,8.0
7,26,0.4354875278375878,,,0.0,8.0
7,27,0.46244561985719734,,,0.0,8.0
7,28,0.4333760405007701,,,0.0,8.0
7,29,0.44486651284031176,,,0.0,8.0
7,30,0.4363848021726504,,,0.0,8.0
7,31,0.43969687662194756,,,0.0,8.0
7,32,0.4562422467980235,,,0.0,8.0
7,33,0.4162991580650093,,,0.0,8.0
7,34,0.4237374589332943,,,0.0,8.0
7,35,0.44714894687392415,,,0.0,8.0
7,36,0.472535588117767,,,0.0,8.0
7,37,0.461246871111029,,,0.0,8.0
7,38,0.4612468711110299,,,0.0,8.0
7,39,0.47947074139704227,,,0.0,8.0
7,40,0.43430519936783596,,,0.0,8.0
7,41,0.43121088117817785,,,0.0,8.0
7,42,0.4296483614188237,,,0.0,8.0
7,43,0.436825253989279,,,0.0,8.0
7,44,0.4296483614188239,,,0.0,8.0
7,45,0.42373745893329445,,,0.0,8.0
7,46,0.4582931856514259,,,0.0,8.0
7,47,0.44692443715454716,,,0.0,8.0
7,48,0.42373745893329445,,,0.0,8.0
7,49,0.503569340949083,,,0.0,8.0
7,50,0.4647275278945184,,,0.0,8.0
7,51,0.4780010363022136,,,0.0,8.0
7,52,0.435487527837588,,,0.0,8.0
7,53,0.4368252539892791,,,0.0,8.0
7,54,0.44714894687392337,,,0.0,8.0
7,55,0.42964836141882384,,,0.0,8.0
7,56,0.4835876828328939,,,0.0,8.0
7,57,0.47347165983820283,,,0.0,8.0
7,58,0.4418809902479354,,,0.0,8.0
7,59,0.4267062118534817,,,0.0,8.0
7,60,0.4348981604957903,,,0.0,8.0
7,61,0.44840043488388354,,,0.0,8.0
7,62,0.4296483614188239,,,0.0,8.0
7,63,0.450117647074796,,,0.0,8.0
7,64,0.4691571405624475,,,0.0,8.0
7,65,0.441407505849428,,,0.0,8.0
7,66,0.4519076671874205,,,0.0,8.0
7,67,0.46248179898247077,,,0.0,8.0
7,68,0.44714894687392376,,,0.0,8.0
7,69,0.4312108811781766,,,0.0,8.0
7,70,0.4267062118534817,,,0.0,8.0
7,71,0.43121088117817785,,,0.0,8.0
7,72,0.4474624786648782,,,0.0,8.0
7,73,0.4430797592826539,,,0.0,8.0
7,74,0.42373745893329445,,,0.0,8.0
7,75,0.43548752783758793,,,0.0,8.0
7,76,0.430417874275629,,,0.0,8.0
7,77,0.4583625270980976,,,0.0,8.0
