M,Id,Max_Advantage,Gamma_value,Mean_sqz,Adjacency_Matrix
6,16,1.999004148960378,0.40816326530612246,(0.45611002285475927+0j),[0 1 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
6,17,1.999004148960378,0.40816326530612246,(0.45611002285475927+0j),[0 1 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
6,18,1.963380497882086,0.40816326530612246,(0.47619047619047633+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0]
6,19,1.9020640606370578,0.40816326530612246,(0.4905955669832319+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0]
6,20,1.999004148960378,0.40816326530612246,(0.45611002285475927+0j),[0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
6,21,2.4814272651347062,0.40816326530612246,(0.425351246440814+0j),[0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0]
6,22,2.015116615041128,0.40816326530612246,(0.49159150740021534+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0]
6,23,1.9990041489603798,0.40816326530612246,(0.45611002285476027+0j),[0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
6,24,2.053636481739002,0.40816326530612246,(0.47962575974878285+0j),[0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0]
6,25,1.9020640606370591,0.40816326530612246,(0.4905955669832325+0j),[0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0]
6,26,1.8507749999813377,0.40816326530612246,(0.5092493834237033+0j),[0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0]
6,27,2.156092465574794,0.40816326530612246,(0.45091843101454987+0j),[0 1 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0]
6,28,2.1560924655747993,0.40816326530612246,(0.45091843101454854+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0]
6,29,2.3426896708279608,0.40816326530612246,(0.4556770981942147+0j),[0 1 1 1 0 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0]
6,30,1.999004148960381,0.40816326530612246,(0.45611002285476027+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
6,31,2.0986759205654177,0.40816326530612246,(0.41904761904761917+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,32,2.1560924655747975,0.40816326530612246,(0.4509184310145486+0j),[0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0]
6,33,2.0986759205654177,0.40816326530612246,(0.41904761904761917+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
